xi,phi_prime,phat
-171.38671875,-4.533602243688697e-09,-4.3149621017954325e-11
-171.2890625,-1.0683705002218815e-08,-6.098641251986551e-11
-171.19140625,-1.6428903154759573e-08,-7.554433969007755e-11
-171.09375,-2.1479096646049096e-08,-8.618470249025765e-11
-170.99609375,-2.5572689582100742e-08,-9.246966949653097e-11
-170.8984375,-2.8489977102574514e-08,-9.417968465790106e-11
-170.80078125,-3.0064772584106216e-08,-9.131972496301839e-11
-170.703125,-3.019356674632625e-08,-8.411492192053914e-11
-170.60546875,-2.8841854696283884e-08,-7.299535823476364e-11
-170.5078125,-2.604720696550828e-08,-5.857158306319732e-11
-170.41015625,-2.1918754743051547e-08,-4.160159729071245e-11
-170.3125,-1.6633307226116384e-08,-2.295166929508618e-11
-170.21484375,-1.0427915167493177e-08,-3.552378615600234e-12
-170.1171875,-3.5894400092312086e-09,1.5647293926881044e-11
-170.01953125,3.5585550729915855e-09,3.372619147691481e-11
-169.921875,1.0671012608441644e-08,4.9834676247135616e-11
-169.82421875,1.739793322974449e-08,6.323435145244193e-11
-169.7265625,2.340136081357314e-08,7.333135707731703e-11
-169.62890625,2.8372357980093008e-08,7.97023746092714e-11
-169.53125,3.204664856681989e-08,8.211160925261024e-11
-169.43359375,3.4218483757973396e-08,8.051872307625123e-11
-169.3359375,3.4751942501648156e-08,7.507688911875762e-11
-169.23828125,3.3588885563319126e-08,6.61218709126635e-11
-169.140625,3.0753410597412406e-08,5.415220160003292e-11
-169.04296875,2.635217730563764e-08,3.980221235033465e-11
-168.9453125,2.0570882057185753e-08,2.3808719967926577e-11
-168.84765625,1.3666583270980293e-08,6.973727275096352e-12
-168.75,5.956509091733145e-09,-9.875619450703286e-12
-168.65234375,-2.1963348961053193e-09,-2.5927204054657096e-11
-168.5546875,-1.0400128505700118e-08,-4.0422938807894306e-11
-168.45703125,-1.8252927026888443e-08,-5.2694097873662406e-11
-168.359375,-2.5362193753573675e-08,-6.219198809509395e-11
-168.26171875,-3.13642648357346e-08,-6.851193260451956e-11
-168.1640625,-3.594273866143358e-08,-7.141017673126726e-11
-168.06640625,-3.884503932245648e-08,-7.081239823279334e-11
-167.96875,-3.9895925035995963e-08,-6.681421223359438e-11
-167.87109375,-3.900774071360039e-08,-5.967315799591476e-11
-167.7734375,-3.61863104509975e-08,-4.979335912566676e-11
-167.67578125,-3.1532569407577114e-08,-3.7703091965305736e-11
-167.578125,-2.523937619312372e-08,-2.4027124027022792e-11
-167.48046875,-1.7583912121640574e-08,-9.454608014464458e-12
-167.3828125,-8.915640600805737e-09,5.295188394320668e-12
-167.28515625,3.594186131794839e-10,1.9508274377546006e-11
-167.1875,9.79751158247936e-09,3.2510071632083146e-11
-167.08984375,1.89382505637678e-08,4.369732587832751e-11
-166.9921875,2.732690319774171e-08,5.2565645200282035e-11
-166.89453125,3.453676169607195e-08,5.873207739714555e-11
-166.796875,4.01907622195474e-08,6.195107654037518e-11
-166.69921875,4.398085525039728e-08,6.212387396091527e-11
-166.6015625,4.568460095148052e-08,5.930026851371535e-11
-166.50390625,4.517765146869357e-08,5.367355568562645e-11
-166.40625,4.244185453813202e-08,4.5568308464248485e-11
-166.30859375,3.7568155219489685e-08,3.542239901424649e-11
-166.2109375,3.075428916812261e-08,2.3763572091796134e-11
-166.11328125,2.2297118412212183e-08,1.118246953532222e-11
-166.015625,1.2580037334746606e-08,-1.6971947961956795e-12
-165.91796875,2.055761220591934e-09,-1.424914881165105e-11
-165.8203125,-8.77452911353354e-09,-2.5874952300552262e-11
-165.72265625,-1.9384835715440273e-08,-3.603212926181776e-11
-165.625,-2.9249727673747353e-08,-4.4259403917651045e-11
-165.52734375,-3.78701543570764e-08,-5.019720469593573e-11
-165.4296875,-4.479847770391044e-08,-5.3603215273730985e-11
-165.33203125,-4.966139892563784e-08,-5.4361640088467086e-11
-165.234375,-5.217985107884631e-08,-5.248653729803214e-11
-165.13671875,-5.218449405385623e-08,-4.811849113805415e-11
-165.0390625,-4.9626075285473355e-08,-4.151559340855775e-11
-164.94140625,-4.458037219232902e-08,-3.3038593652328756e-11
-164.84375,-3.724672010395769e-08,-2.3131729879027752e-11
-164.74609375,-2.794074948545125e-08,-1.229955941244453e-11
-164.6484375,-1.7081127534905366e-08,-1.081670384181895e-12
-164.55078125,-5.170988700784239e-09,9.974156584344876e-12
-164.453125,7.225186074568206e-09,2.0338323169197616e-11
-164.35546875,1.950797241894968e-08,2.952475487263955e-11
-164.2578125,3.1071879428381586e-08,3.7113314529702064e-11
-164.16015625,4.1334921640066724e-08,4.276895882738368e-11
-164.0625,4.9767675735687295e-08,4.625608067749692e-11
-163.96484375,5.592027944096407e-08,4.744813621446832e-11
-163.8671875,5.9446146053891216e-08,4.633148338951547e-11
-163.76953125,6.012089465997512e-08,4.3004058470248117e-11
-163.671875,5.7855856079038165e-08,3.766835066401126e-11
-163.57421875,5.2704989950637724e-08,3.061982582982204e-11
-163.4765625,4.486509683806282e-08,2.2230738922379785e-11
-163.37890625,3.466883487930214e-08,1.2930909610188162e-11
-163.28125,2.2571123843134396e-08,3.1857373890174324e-12
-163.18359375,9.129103840334912e-09,-6.526722540784139e-12
-163.0859375,-5.023188743389362e-09,-1.5739210992755396e-11
-162.98828125,-1.9204470753743262e-08,-2.401739195097608e-11
-162.890625,-3.271876319501392e-08,-3.098032807023761e-11
-162.79296875,-4.4889304644196e-08,-3.631763446909563e-11
-162.6953125,-5.5092119683050965e-08,-3.980326434418247e-11
-162.59765625,-6.278776767370343e-08,-4.130460863589542e-11
-162.5,-6.754942247209166e-08,-4.0787280232185426e-11
-162.40234375,-6.908604735882249e-08,-3.831471381402102e-11
-162.3046875,-6.725931885629056e-08,-3.4043421948612255e-11
-162.20703125,-6.209346780643055e-08,-2.821349522131181e-11
-162.109375,-5.377713517318342e-08,-2.1135620149527787e-11
-162.01171875,-4.2657436961536346e-08,-1.3174580224063984e-11
-161.9140625,-2.9225906195613345e-08,-4.730830231755593e-12
-161.81640625,-1.4097221463565209e-08,3.7796611078833845e-12
-161.71875,2.0186159073648387e-09,1.194556500534496e-11
-161.62109375,1.8349259699388038e-08,1.9380104445245284e-11
-161.5234375,3.409680021444718e-08,2.5739035449676295e-11
-161.42578125,4.8476417187604034e-08,3.0736603648697085e-11
-161.328125,6.075517148962374e-08,3.4158009309657533e-11
-161.23046875,7.028904667072771e-08,3.586858521584479e-11
-161.1328125,7.655630079579233e-08,3.581856835096205e-11
-161.03515625,7.918545776956508e-08,3.40440607766935e-11
-160.9375,7.797651238361126e-08,3.066346366268663e-11
-160.83984375,7.291404981871561e-08,2.5870386779199193e-11
-160.7421875,6.4171662941603e-08,1.992269690701079e-11
-160.64453125,5.2107061443914914e-08,1.312905352918005e-11
-160.546875,3.7248093446464836e-08,5.832880067993235e-12
-160.44921875,2.0270140492548716e-08,-1.6046581553256441e-12
-160.3515625,1.9658293616238706e-09,-8.822581560494729e-12
-160.25390625,-1.6791642003770264e-08,-1.5477295641118554e-11
-160.15625,-3.5089781261595966e-08,-2.1259001583355357e-11
-160.05859375,-5.202092434236359e-08,-2.5905786822264634e-11
-159.9609375,-6.672682021225249e-08,-2.921551826153574e-11
-159.86328125,-7.844181865266423e-08,-3.105424840925872e-11
-159.765625,-8.653223665468166e-08,-3.136155626390531e-11
-159.66796875,-9.053010148313126e-08,-3.015186253454374e-11
-159.5703125,-9.015930579135025e-08,-2.751249588529959e-11
-159.47265625,-8.535297838137769e-08,-2.3597900804269268e-11
-159.375,-7.626075664564931e-08,-1.862110598805236e-11
-159.27734375,-6.324572797216038e-08,-1.284214904212294e-11
-159.1796875,-4.6870715437082807e-08,-6.554842405009913e-12
-159.08203125,-2.7874554973694032e-08,-7.177925064463576e-14
-158.984375,-7.139206685731106e-09,6.290892567709404e-12
-158.88671875,1.4350763116142606e-08,1.222896403325746e-11
-158.7890625,3.555453751729219e-08,1.7464399376606586e-11
-158.69140625,5.54250767540204e-08,2.175842610019375e-11
-158.59375,7.296041697271237e-08,2.4922093879651577e-11
-158.49609375,8.725380534831954e-08,2.6824621390169126e-11
-158.3984375,9.754004144256967e-08,2.7398390278426883e-11
-158.30078125,1.0323583397799662e-07,2.6641192130757013e-11
-158.203125,1.0397199397238563e-07,2.4614888749752814e-11
-158.10546875,9.961572125968986e-08,2.144140420959622e-11
-158.0078125,9.028180342706125e-08,1.7295505889610047e-11
-157.91015625,7.633169840985978e-08,1.2395571989110261e-11
-157.8125,5.8360648932696356e-08,6.9920389733920635e-12
-157.71484375,3.717301160109907e-08,1.3549212095580699e-12
-157.6171875,1.3746788948186448e-08,-4.239771007233457e-12
